time_ms,swing,emg
2,0,940
2,0,940
2,0,941
2,0,941
2,0,940
2,0,940
2,0,940
2,0,940
2,0,940
2,0,940
2,0,941
2,0,940
2,0,940
2,0,940
2,0,940
2,0,940
2,0,941
2,0,940
2,0,941
2,0,940
2,0,940
2,0,941
2,0,940
2,0,940
2,0,940
2,0,940
2,0,941
2,0,941
2,0,940
2,0,940
2,0,940
2,0,940
2,0,940
3,0,940
3,0,941
3,0,940
3,0,940
3,0,940
3,0,940
3,0,940
3,0,941
3,0,940
3,0,941
3,0,940
3,0,940
3,0,941
3,0,940
3,0,943
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,942
3,0,943
3,0,942
3,0,943
3,0,943
3,0,943
3,0,943
3,0,943
3,0,942
3,0,942
3,0,943
3,0,943
3,0,943
3,0,943
3,0,943
3,0,943
3,0,943
3,0,942
3,0,943
3,0,943
3,0,943
3,0,943
3,0,943
3,0,943
3,0,942
3,0,943
3,0,943
3,0,943
3,0,943
3,0,943
3,0,943
4,0,943
4,0,942
4,0,942
4,0,942
4,0,943
4,0,943
4,0,942
4,0,943
4,0,943
4,0,942
4,0,942
4,0,942
4,0,943
4,0,943
4,0,942
4,0,943
4,0,943
4,0,943
4,0,942
4,0,942
4,0,943
4,0,943
4,0,942
4,0,943
4,0,943
4,0,943
4,0,942
4,0,943
4,0,943
4,0,942
4,0,943
4,0,943
4,0,943
4,0,943
4,0,942
4,0,943
4,0,942
4,0,943
4,0,943
4,0,943
4,0,943
4,0,943
5,0,943
5,0,943
5,0,943
5,0,943
5,0,943
5,0,943
5,0,943
5,0,943
5,0,943
5,0,943
5,0,943
5,0,942
5,0,943
5,0,943
5,0,942
5,0,943
5,0,942
5,0,942
5,0,942
5,0,943
5,0,943
5,0,943
5,0,943
5,0,942
5,0,942
5,0,942
5,0,942
5,0,943
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,942
5,0,943
5,0,942
5,0,942
5,0,942
5,0,943
5,0,943
6,0,943
6,0,943
6,0,943
6,0,943
6,0,942
6,0,943
6,0,943
6,0,943
6,0,943
6,0,943
6,0,943
6,0,942
6,0,943
6,0,943
6,0,943
6,0,943
6,0,943
6,0,943
6,0,943
6,0,943
6,0,942
6,0,942
6,0,942
6,0,943
6,0,943
6,0,943
6,0,943
7,0,942
7,0,943
7,0,943
7,0,942
7,0,942
7,0,943
7,0,942
7,0,943
7,0,943
7,0,942
7,0,942
7,0,942
7,0,943
7,0,942
7,0,942
7,0,943
7,0,942
7,0,942
7,0,942
7,0,942
7,0,942
7,0,943
7,0,942
7,0,943
7,0,942
7,0,942
7,0,942
7,0,942
7,0,942
7,0,943
7,0,942
7,0,943
